PASSENGER_TYPE,LENGTH,ITINERARY_TYPE,CABIN,MARKET,CHANNEL,NEW_MARKET_ROLL_UP,OLD_OLD_MARKET_ROLL_UP,ACCOUNTING_MONTH,MASTER_VOYAGE,MASTER_DEPARTURE_DATE,PASSENGERS,PASSENGER_NIGHTS,CURRENCY,FX.1,PPPD,PPPD_EUR,GROSS_TICKET_REVENUE_LOCAL,GROSS_TICKET_REVENUE_EUR,PRE-EMB_PPPD,PRE-EMB_REVENUE_EUR,FY,BUDGET_NAME,VERSION,UNIQUE_ID,ACTUALS_CODE,EFFECTIVE_FROM,EFFECTIVE_TO,ACTIVE_RECORD_FLAG
G,3,Iconic Aegean,Inside,BLK,DMC,HOME,Home Markets,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,EUR,1,108,108,0,0,0,0,2027,Budget2025,v1,GInsideBLKDMCCD03280324Budget2025v1,GInsideBLKDMCCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Inside,EAS,Tour Operator,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,1,3,EUR,1,122,122,368,368,2,7,2027,Budget2025,v1,FInsideEASTour OperatorCD03280324Budget2025v1,FInsideEASTour OperatorCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Outside,SCN,Tour Operator,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280317,17/03/2028,0,0,EUR,1,0,0,0,0,0,0,2027,Budget2025,v1,FOutsideSCNTour OperatorCD03280317Budget2025v1,FOutsideSCNTour OperatorCD03280317,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Inside,MID,Direct,AWAY,Away Markets,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,USD,0,0,0,0,0,0,0,2027,Budget2025,v1,FInsideMIDDirectCD03280324Budget2025v1,FInsideMIDDirectCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,14,Positioning Journey,Outside,NTH,Tour Operator,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ14280319,19/03/2028,0,0,EUR,1,97,97,0,0,0,0,2027,Budget2025,v1,GOutsideNTHTour OperatorCJ14280319Budget2025v1,GOutsideNTHTour OperatorCJ14280319,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,14,Positioning Journey,Inside,JPN,DMC,APAC,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ14280319,19/03/2028,0,0,USD,0,105,96,0,0,29,0,2027,Budget2025,v1,FInsideJPNDMCCJ14280319Budget2025v1,FInsideJPNDMCCJ14280319,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,3,Iconic Aegean,Outside,CAN,Direct,NORAM,USA,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280317,17/03/2028,0,0,USD,0,175,159,0,0,9,0,2027,Budget2025,v1,GOutsideCANDirectCD03280317Budget2025v1,GOutsideCANDirectCD03280317,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,14,Positioning Journey,Deluxe,CAN,DMC,NORAM,USA,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ14280319,19/03/2028,0,0,USD,0,105,96,0,0,34,0,2027,Budget2025,v1,GDeluxeCANDMCCJ14280319Budget2025v1,GDeluxeCANDMCCJ14280319,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,14,Positioning Journey,Outside,AUS,Direct,AUNZ,AUS,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ14280319,19/03/2028,4,56,AUD,0,161,97,9018,5433,14,835,2027,Budget2025,v1,FOutsideAUSDirectCJ14280319Budget2025v1,FOutsideAUSDirectCJ14280319,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,4,Iconic Aegean,Inside,BRI,Tour Operator,UKIE,UKIE,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD04280327,27/03/2028,0,0,GBP,1,0,0,0,0,0,0,2027,Budget2025,v1,FInsideBRITour OperatorCD04280327Budget2025v1,FInsideBRITour OperatorCD04280327,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
